,name,formula,Tc,Pc,dh_form,dh_comb,dg_form,ds_form
0,Methane,CH4,190.564,4590000.0,-74520.0,-802600.0,-50490.00000000001,186.27
1,Ethane,C2H6,305.32,4850000.0,-83820.0,-1428600.0,-31920.0,229.12
2,Propane,C3H8,369.83,4210000.0,-104680.0,-2043100.0,-24390.0,270.2
3,n-Butane,C4H10,425.12,3770000.0,-125790.0,-2657300.0,-16700.0,309.90999999999997
4,n-Pentane,C5H12,469.7,3360000.0,-146760.0,-3244900.0,-8813.0,349.45
5,n-Hexane,C6H14,507.6,3040000.0,-166940.0,-3855100.0,-66.0,388.74
6,n-Heptane,C7H16,540.2,2720000.0,-187650.0,-4464700.0,8165.0,427.97999999999996
7,n-Octane,C8H18,568.7,2470000.0,-208750.0,-5074200.0,16000.0,467.23
8,n-Nonane,C9H20,594.6,2310000.0,-228740.0,-5684600.0,24980.000000000004,506.4
9,n-Decane,C10H22,617.7,2089999.9999999998,-249460.00000000003,-6294200.0,33180.0,545.6999999999999
10,n-Undecane,C11H24,639.0,1950000.0,-270430.0,-6903600.0,41160.0,584.9300000000001
11,n-Dodecane,C12H26,658.0,1820000.0,-290720.0,-7513700.0,49810.0,624.15
12,n-Tridecane,C13H28,675.0,1680000.0,-311770.0,-8122900.0,57710.0,663.37
13,n-Tetradecane,C14H30,693.0,1570000.0,-332440.0,-8732800.0,65990.0,702.59
14,n-Pentadecane,C15H32,708.0,1470000.0,-353110.0,-9342400.0,74260.0,741.81
15,n-Hexadecane,C16H34,723.0,1410000.0,-374170.0,-9951500.0,82160.0,781.02
16,n-Heptadecane,C17H36,736.0,1340000.0,-394450.0,-10561800.0,90830.0,820.2299999999999
17,n-Octadecane,C18H38,747.0,1260000.0,-415120.0,-11171500.0,99100.0,859.45
18,n-Nonadecane,C19H40,758.0,1210000.0,-435790.0,-11781200.0,107400.0,898.66
19,n-Eicosane,C20H42,768.0,1170000.0,-456460.0,-12390800.0,115700.0,937.87
20,2-Methylpropane,C4H10,408.14,3620000.0,-134180.0,-2649000.0,-20760.0,295.39
21,2-Methylbutane,C5H12,460.43,3370000.0,-153700.0,-3239500.0,-14050.0,343.73999999999995
22,"2,3-Dimethylbutane",C6H14,499.98,3130000.0,-176800.0,-3847600.0,-3125.0,365.91999999999996
23,2-Methylpentane,C6H14,497.5,3020000.0,-174549.99999999997,-3849200.0,-5338.000000000001,380.89
24,"2,3-Dimethylpentane",C7H16,537.35,2880000.0,-194100.0,-4460800.0,5717.0,414.55
25,"2,3,3-Trimethylpentane",C8H18,573.5,2810000.0,-218450.0,-5068800.0,18280.0,427.02
26,"2,2,4-Trimethylpentane",C8H18,543.96,2560000.0,-224010.0,-5065300.0,13939.999999999998,422.96
27,Ethylene,C2H4,282.34,5030000.0,52510.0,-1323000.0,68440.0,219.20000000000002
28,Propylene,C3H6,365.57,4630000.0,19710.0,-1925700.0,62150.0,266.59999999999997
29,1-Butene,C4H8,419.95,4040000.0,-540.0,-2540800.0,70270.0,307.75
30,cis-2-Butene,C4H8,435.58,4240000.0,-7400.0,-2533900.0,65359.99999999999,301.2
31,trans-2-Butene,C4H8,428.63,4080000.0,-11000.0,-2530300.0,63160.0,296.5
32,1-Pentene,C5H10,464.78,3560000.0,-21300.0,-3129600.0,78450.0,346.99
33,1-Hexene,C6H12,504.03,3140000.0,-42000.0,-3739400.0,87390.00000000001,383.89000000000004
34,1-Heptene,C7H14,537.29,2820000.0,-62800.0,-4348900.0,94830.0,425.49
35,1-Octene,C8H16,566.65,2570000.0,-83600.0,-4960600.0,103000.0,464.68999999999994
36,1-Nonene,C9H18,593.25,2330000.0,-104000.0,-5568400.0,111500.0,503.99
37,1-Decene,C10H20,616.4,2210000.0,-124700.0,-6178100.0,119800.0,543.1899999999999
38,2-Methylpropene,C4H8,417.9,3980000.0,-17100.0,-2524200.0,58080.0,293.09
